Row ID,Order Date,Ship Date,Country,State,Postal Code,Region,Catedory,Sub-Category,Product name,Sales,Quantity,Discount,Profit
1,17/09/2018,21/09/2018,México,Guerrero,19140,West,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
2,17/09/2018,21/09/2018,México,Guerrero,19140,West,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
3,17/09/2018,21/09/2018,México,Guerrero,19140,West,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
4,17/09/2018,21/09/2018,México,Guerrero,19140,West,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
5,17/09/2018,21/09/2018,México,Guerrero,19140,West,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
6,17/09/2018,21/09/2018,México,Guerrero,19140,West,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
7,17/09/2018,21/09/2018,México,Guerrero,19140,West,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.5460000000000003
8,19/10/2020,23/10/2020,México,Baja California Sur,77095,North,Office Supplies,Paper,Easy-staple paper,29.471999999999998,3,0.2,9.9468
9,08/12/2019,10/12/2019,México,Baja California Sur,75080,North,Technology,Phones,GE 30524EE4,1097.5439999999999,7,0.2,123.4737
10,08/12/2019,10/12/2019,México,Baja California Sur,75080,North,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
11,27/12/2018,31/12/2018,México,Baja California Sur,77041,North,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.32799999999999,9,0.2,35.415
12,27/12/2018,31/12/2018,México,Baja California Sur,77041,North,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
13,27/12/2018,31/12/2018,México,Baja California Sur,77041,North,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
14,27/12/2018,31/12/2018,México,Baja California Sur,77041,North,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
15,10/09/2020,15/09/2020,México,Durango,60540,North,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
16,19/09/2020,23/09/2020,México,Oaxaca,32935,East,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
19,20/10/2021,25/10/2021,México,Verracruz,48185,,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784
20,18/04/2018,22/04/2018,México,Cohaulia,47150,,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634
21,18/04/2018,22/04/2018,México,Cohaulia,47150,,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346
22,18/04/2018,22/04/2018,México,Cohaulia,47150,,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568
23,18/04/2018,22/04/2018,México,Cohaulia,47150,,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981
24,11/12/2019,17/12/2019,México,Yucatán,10024,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566
25,11/12/2019,17/12/2019,México,Yucatán,10024,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855
26,17/06/2019,18/06/2019,México,Yucatán,12180,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14
27,17/06/2019,18/06/2019,México,Yucatán,12180,East,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552
28,17/06/2019,18/06/2019,México,Yucatán,12180,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
29,17/06/2019,18/06/2019,México,Yucatán,12180,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888
30,17/06/2019,18/06/2019,México,Yucatán,12180,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3
31,17/06/2019,18/06/2019,México,Yucatán,12180,East,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362000000000002
32,17/06/2019,18/06/2019,México,Yucatán,12180,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84
33,30/04/2018,05/05/2018,México,Durango,60610,North,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
34,05/12/2021,10/12/2021,México,Nuevo León,85234,North,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
35,05/12/2021,10/12/2021,México,Nuevo León,85234,North,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
36,04/06/2019,06/06/2019,México,Sinaloa,22153,North,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636
37,18/09/2019,23/09/2019,México,Yucatán,10009,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.6160000000000005,1,0.2,1.7309999999999999
38,14/09/2020,17/09/2020,México,Verracruz,49201,,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763
39,26/04/2018,02/05/2018,México,Morelos,38109,Center,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
40,26/04/2018,02/05/2018,México,Morelos,38109,Center,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
41,26/04/2018,02/05/2018,México,Morelos,38109,Center,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78399999999999,1,0.2,-18.195999999999998
42,09/12/2020,11/12/2020,México,Baja California Sur,77041,North,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
43,09/12/2020,11/12/2020,México,Baja California Sur,77041,North,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
44,09/12/2020,11/12/2020,México,Baja California Sur,77041,North,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.7239999999999998
45,26/11/2021,01/12/2021,México,Baja California Sur,77070,North,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
46,03/09/2018,08/09/2018,México,Nayarit,27707,West,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
47,13/11/2020,16/11/2020,México,Durango,60623,North,Office Supplies,Storage,Safco Industrial Wire Shelving,230.37599999999998,3,0.2,-48.9549
48,26/10/2020,02/11/2020,México,Baja California,55901,North,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966
49,26/10/2020,02/11/2020,México,Baja California,55901,North,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568
50,05/04/2019,10/04/2019,México,Baja California Sur,77095,North,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
51,31/01/2018,05/02/2018,México,Baja California,55407,North,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208
52,31/01/2018,05/02/2018,México,Baja California,55407,North,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.5354
53,31/01/2018,05/02/2018,México,Baja California,55407,North,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504
54,06/11/2020,12/11/2020,México,Tlaxcala,97206,Center,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.7880000000000003
55,09/11/2020,11/11/2020,México,Yucatán,10009,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426
56,06/09/2019,11/09/2019,México,Baja California,55106,North,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852
57,29/08/2019,02/09/2019,México,Durango,60610,North,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
58,29/08/2019,02/09/2019,México,Durango,60610,North,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
59,29/08/2019,02/09/2019,México,Durango,60610,North,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
60,01/12/2019,04/12/2019,México,Baja California,55901,North,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208
61,13/11/2018,17/11/2018,México,Chiapas,80013,East,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
62,13/11/2018,17/11/2018,México,Chiapas,80013,East,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
63,13/11/2018,17/11/2018,México,Chiapas,80013,East,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174
64,23/11/2020,28/11/2020,México,Nayarit,28205,West,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
65,23/11/2020,28/11/2020,México,Nayarit,28205,West,Technology,Phones,Speck Products Candyshell Flip Case,27.991999999999997,1,0.2,2.0994
66,23/11/2020,28/11/2020,México,Nayarit,28205,West,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738
67,15/10/2018,20/10/2018,México,Durango,60462,North,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992
68,25/12/2020,30/12/2020,México,Yucatán,10035,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,10.9096
69,03/11/2019,10/11/2019,México,San Luis Potosi,50322,North,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.0,22.788
70,03/11/2019,10/11/2019,México,San Luis Potosi,50322,North,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0.0,13.3476
71,25/08/2021,27/08/2021,México,Colima,43229,West,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348
72,25/08/2021,27/08/2021,México,Colima,43229,West,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652
73,25/08/2021,27/08/2021,México,Colima,43229,West,Office Supplies,Paper,Xerox 1921,23.976,3,0.2,7.4925
74,25/08/2021,27/08/2021,México,Colima,43229,West,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316
75,02/03/2018,06/03/2018,México,Guanajuato,98103,West,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0.0,165.3813
76,05/04/2018,10/04/2018,México,Morelos,37620,Center,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.79399999999998,1,0.7,-115.7156
77,26/12/2021,28/12/2021,México,Baja California Sur,77041,North,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794
78,20/09/2021,25/09/2021,México,Durango,61701,North,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.68199999999996
79,05/11/2020,12/11/2020,México,Nuevo León,85023,North,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308
80,05/11/2020,12/11/2020,México,Nuevo León,85023,North,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.99200000000002,7,0.2,30.499000000000002
81,02/02/2020,05/02/2020,México,Colima,43229,West,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994000000000002
82,02/02/2020,05/02/2020,México,Colima,43229,West,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364
83,02/02/2020,05/02/2020,México,Colima,43229,West,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.9732
84,05/09/2019,07/09/2019,México,Guerrero,19140,West,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35
85,22/10/2021,28/10/2021,México,Colima,43055,West,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.88799999999999,4,0.2,12.9096
86,13/03/2019,16/03/2019,México,Nuevo León,85254,North,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.766
87,13/03/2019,16/03/2019,México,Nuevo León,85254,North,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.18400000000003,2,0.2,15.2388
88,28/05/2018,03/06/2018,México,Guanajuato,98105,West,Office Supplies,Art,Newell 311,6.63,3,0.0,1.7901
89,01/03/2021,06/03/2021,México,Guanajuato,98115,West,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.56800000000004,2,0.2,51.4764
90,20/11/2019,24/11/2019,México,Sonora,73034,North,Office Supplies,Labels,Avery 519,14.62,2,0.0,6.8714
91,20/11/2019,24/11/2019,México,Sonora,73034,North,Technology,Phones,Avaya 5420 Digital phone,944.93,7,0.0,236.2325
92,28/12/2018,31/12/2018,México,Guerrero,19134,West,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.38399999999999,2,0.2,1.3596
93,16/11/2019,20/11/2019,México,Quintana Roo,88220,East,Office Supplies,Envelopes,Staple envelope,28.4,5,0.0,13.347999999999999
