Brand,Demand Type,Distribution Center,Forecast Bias,Month,Forecast Accuracy,Plant,Product ID,Product Type,Region,Shipment Destination,Shipment Type,% on backorder,Backorder %,Buyer Type
"",Cyclical,Distribution Center A,Accurate (5% to -5%),May,"",#1448,"",Patient Monitoring,Northeast,"","","3,97 %","3,97 %",""
"",Cyclical,Distribution Center B,Accurate (5% to -5%),June,"",#1448,"",Patient Monitoring,Southwest,"","","2,95 %","2,95 %",""
"",Cyclical,Distribution Center B,Moderate over (5% to 20%),April,"",#1448,"",Patient Monitoring,Southwest,"","","2,73 %","2,73 %",""
"",Cyclical,Distribution Center C,Moderate over (5% to 20%),June,"",#1448,"",Patient Monitoring,West,"","","2,15 %","2,15 %",""
"",Cyclical,Distribution Center C,Moderate over (5% to 20%),May,"",#1448,"",Patient Monitoring,West,"","","7,94 %","7,94 %",""
"",Cyclical,Distribution Center D,Accurate (5% to -5%),April,"",#1448,"",Patient Monitoring,Midwest,"","","4,46 %","4,46 %",""
"",Declining,Distribution Center A,Moderate over (5% to 20%),May,"",#0239,"",Patient Monitoring,Northeast,"","","2,88 %","2,88 %",""
"",Declining,Distribution Center B,Moderate over (5% to 20%),June,"",#0239,"",Patient Monitoring,Southwest,"","","0,11 %","0,11 %",""
"",Declining,Distribution Center C,Accurate (5% to -5%),April,"",#0239,"",Patient Monitoring,West,"","","3,80 %","3,80 %",""
"",Declining,Distribution Center C,Accurate (5% to -5%),May,"",#0239,"",Patient Monitoring,West,"","","3,87 %","3,87 %",""
"",Declining,Distribution Center C,Moderate over (5% to 20%),November,"",#0239,"",Patient Monitoring,West,"","","4,72 %","4,72 %",""
"",Declining,Distribution Center D,Accurate (5% to -5%),June,"",#0239,"",Patient Monitoring,Midwest,"","","4,62 %","4,62 %",""
"",Declining,Distribution Center D,Moderate over (5% to 20%),April,"",#0239,"",Patient Monitoring,Midwest,"","","4,72 %","4,72 %",""
"",Intermittent,Distribution Center A,Accurate (5% to -5%),April,"",#0239,"",Neurological,Northeast,"","","3,29 %","3,29 %",""
"",Intermittent,Distribution Center A,Accurate (5% to -5%),April,"",#0477,"",Advanced Surgical,Northeast,"","","7,54 %","7,54 %",""
"",Intermittent,Distribution Center A,Accurate (5% to -5%),April,"",#0761,"",Neurological,Northeast,"","","5,86 %","5,86 %",""
"",Intermittent,Distribution Center A,Accurate (5% to -5%),April,"",#0761,"",Patient Monitoring,Northeast,"","","5,30 %","10,60 %",""
"",Intermittent,Distribution Center A,Accurate (5% to -5%),June,"",#0048,"",Patient Monitoring,Northeast,"","","10,24 %","10,24 %",""
"",Intermittent,Distribution Center A,Accurate (5% to -5%),June,"",#0239,"",Cardiovascular,Northeast,"","","0,12 %","0,12 %",""
"",Intermittent,Distribution Center A,Accurate (5% to -5%),June,"",#0610,"",Cardiovascular,Northeast,"","","6,26 %","6,26 %",""
"",Intermittent,Distribution Center A,Accurate (5% to -5%),June,"",#0761,"",Cardiovascular,Northeast,"","","4,81 %","4,81 %",""
