Backorder Risk;Distribution Center;Location;Product ID;Risk Score
1;Center A;USA;10040110;Low
1;Center A;USA;10040430;Low
1;Center B;USA;10040361;Low
1;Center C;USA;AA;Low
1;Center D;USA;10040123;Low
1;Center F;USA;10040285;Low
1;Center F;USA;10040405;Low
1;Center H;USA;BB;Low
1;Center I;USA;CC;Low
1;Center J;USA;10040089;Low
2;Center A;USA;10040410;Low
2;Center B;USA;GG;Low
2;Center B;USA;10040121;Low
2;Center B;USA;10040301;Low
2;Center C;USA;10040472;Low
2;Center D;USA;10039973;Low
2;Center D;USA;10040113;Low
2;Center D;USA;10040273;Low
2;Center D;USA;10040413;Low
2;Center E;USA;10040054;Low
2;Center E;USA;10040104;Low
2;Center H;USA;10040207;Low
2;Center I;USA;10040458;Low
2;Center I;USA;10040488;Low
2;Center J;USA;10040189;Low
3;Center A;USA;10039980;Low
3;Center B;USA;10040161;Low
3;Center B;USA;10040171;Low
3;Center C;USA;10040072;Low
3;Center D;USA;10040053;Low
3;Center D;USA;10040303;Low
3;Center F;USA;10040225;Low
3;Center H;USA;10040277;Low
3;Center H;USA;10040347;Low
3;Center I;USA;10040298;Low
4;Center A;USA;10040270;Low
4;Center C;USA;10040222;Low
4;Center C;USA;10040272;Low
4;Center E;USA;10040084;Low
4;Center E;USA;10040224;Low
4;Center G;USA;10040316;Low
4;Center I;USA;10040028;Low
4;Center I;USA;10040368;Low
5;Center A;USA;10039970;Low
5;Center A;USA;10040290;Low
5;Center A;USA;10040310;Low
5;Center B;USA;10039971;Low
5;Center B;USA;10040291;Low
5;Center C;USA;10040062;Low
5;Center D;USA;10040473;Low
5;Center E;USA;10040464;Low
5;Center F;USA;10040005;Low
5;Center F;USA;10040035;Low
5;Center G;USA;10039936;Low
5;Center G;USA;10040276;Low
5;Center G;USA;10040356;Low
5;Center G;USA;10040386;Low
5;Center I;USA;10040008;Low
5;Center I;USA;10040018;Low
5;Center I;USA;10040408;Low
5;Center J;USA;10039969;Low
5;Center J;USA;10040029;Low
5;Center J;USA;10040069;Low
6;Center H;USA;10039967;Low
6;Center H;USA;10040037;Low
6;Center H;USA;10040257;Low
6;Center I;USA;10039958;Low
6;Center I;USA;10040068;Low
6;Center I;USA;10040188;Low
6;Center J;USA;10039979;Low
6;Center J;USA;10040259;Low
7;Center B;USA;10040311;Low
7;Center C;USA;10040162;Low
7;Center C;USA;10040262;Low
7;Center C;USA;10040342;Low
7;Center D;USA;10040493;Low
7;Center E;USA;10039994;Low
7;Center E;USA;10040094;Low
7;Center E;USA;10040124;Low
7;Center F;USA;10040115;Low
7;Center H;USA;10039957;Low
7;Center I;USA;10040328;Low
7;Center I;USA;10040438;Low
7;Center J;USA;10040139;Low
8;Center A;USA;10040050;Low
8;Center A;USA;10040080;Low
8;Center A;USA;10040340;Low
8;Center B;USA;10040021;Low
8;Center B;USA;10040271;Low
8;Center C;USA;10040122;Low
8;Center D;USA;10039993;Low
8;Center D;USA;10040083;Low
8;Center D;USA;10040463;Low
8;Center E;USA;10039944;Low
8;Center E;USA;10040014;Low
8;Center E;USA;10040074;Low
8;Center F;USA;10040445;Low
8;Center H;USA;10040427;Low
8;Center I;USA;10040208;Low
8;Center I;USA;10040268;Low
8;Center J;USA;10040339;Low
8;Center J;USA;10040479;Low
9;Center A;USA;10040130;Low
9;Center A;USA;10040170;Low
9;Center C;USA;10040042;Low
9;Center D;USA;10040343;Low
9;Center D;USA;10040483;Low
9;Center E;USA;10040174;Low
9;Center G;USA;10040246;Low
9;Center G;USA;10040466;Low
9;Center H;USA;10040287;Low
9;Center I;USA;10039978;Low
9;Center I;USA;10040288;Low
9;Center J;USA;10040179;Low
10;Center A;USA;10040000;Low
10;Center A;USA;10040100;Low
A;Center B;USA;10040011;Low
10;Center C;USA;10040142;Low
10;Center D;USA;10039933;Low
10;Center D;USA;10040253;Low
10;Center E;USA;10040044;Low
10;Center G;USA;10039946;Low
10;Center G;USA;10040376;Low
10;Center H;USA;10040397;Low
10;Center I;USA;10040278;Low
10;Center J;USA;10040129;Low
11;Center A;USA;10040010;Low
B;Center A;USA;10040360;Low
11;Center A;USA;10040420;Low
11;Center B;USA;10039961;Low
11;Center B;USA;10040141;Low
11;Center D;USA;10040033;Low
11;Center E;USA;10040364;Low
11;Center E;USA;10040414;Low
11;Center F;USA;10040215;Low
11;Center G;USA;10040226;Low
11;Center I;USA;10040138;Low
F;Center J;USA;10039989;Low
12;Center A;USA;10040040;Low
12;Center A;USA;10040490;Low
12;Center B;USA;10040481;Low
12;Center C;USA;10040172;Low
12;Center C;USA;10040282;Low
12;Center D;USA;10040073;Low
12;Center D;USA;10040233;Low
12;Center D;USA;10040323;Low
12;Center F;USA;10040015;Low
12;Center F;USA;10040155;Low
12;Center G;USA;10040076;Low
12;Center G;USA;10040446;Low
12;Center G;USA;10040456;Low
H;Center H;USA;10040067;Low
13;Center A;USA;10040020;Low
13;Center A;USA;10040120;Low
13;Center B;USA;10040411;Low
13;Center C;USA;10040292;Low
13;Center F;USA;10040165;Low
13;Center F;USA;10040175;Low
13;Center H;USA;10039947;Low
13;Center I;USA;10040048;Low
13;Center J;USA;10039949;Low
14;Center B;USA;10040331;Low
14;Center C;USA;10040202;Low
14;Center C;USA;10040492;Low
14;Center D;USA;10040363;Low
14;Center E;USA;10040064;Low
14;Center E;USA;10040244;Low
14;Center E;USA;10040384;Low
14;Center G;USA;10040006;Low
14;Center G;USA;10040486;Low
14;Center I;USA;10040158;Low
14;Center J;USA;10040399;Low
15;Center A;USA;10040090;Low
15;Center B;USA;10040221;Low
15;Center B;USA;10040471;Low
15;Center C;USA;10040052;Low
15;Center C;USA;10040132;Low
15;Center E;USA;10040194;Low
15;Center F;USA;10040075;Low
15;Center F;USA;10040195;Low
15;Center H;USA;10040087;Low
16;Center B;USA;10040071;Low
16;Center B;USA;10040341;Low
16;Center C;USA;10040032;Low
16;Center D;USA;10040093;Low
16;Center D;USA;10040153;Low
16;Center E;USA;10040314;Low
16;Center F;USA;10040375;Low
16;Center G;USA;10040066;Low
16;Center G;USA;10040206;Low
16;Center G;USA;10040366;Low
16;Center I;USA;10040108;Low
16;Center I;USA;10040198;Low
16;Center J;USA;10039939;Low
16;Center J;USA;10040379;Low
17;Center C;USA;10040102;Low
17;Center D;USA;10040293;Low
17;Center D;USA;10040393;Low
17;Center D;USA;10040403;Low
17;Center E;USA;10040024;Low
17;Center E;USA;10040304;Low
17;Center E;USA;10040474;Low
17;Center F;USA;10040105;Low
17;Center F;USA;10040265;Low
17;Center G;USA;10040336;Low
17;Center H;USA;10040167;Low
17;Center H;USA;10040337;Low
17;Center H;USA;10040367;Low
18;Center A;USA;10040320;Low
18;Center A;USA;10040330;Low
18;Center B;USA;10040051;Low
18;Center B;USA;10040251;Low
18;Center B;USA;10040451;Low
18;Center D;USA;10039983;Low
18;Center D;USA;10040013;Low
18;Center E;USA;10040444;Low
18;Center F;USA;10040235;Low
18;Center G;USA;10040406;Low
18;Center G;USA;10040426;Low
18;Center H;USA;10040447;Low
18;Center I;USA;10039938;Low
18;Center I;USA;10040388;Low
18;Center J;USA;10040239;Low
18;Center J;USA;10040439;Low
19;Center A;USA;10040060;Low
19;Center B;USA;10040181;Low
19;Center B;USA;10040201;Low
19;Center C;USA;10040462;Low
19;Center E;USA;10039964;Low
19;Center E;USA;10040204;Low
19;Center F;USA;10040315;Low
19;Center G;USA;10040096;Low
19;Center H;USA;10039927;Low
19;Center H;USA;10040317;Low
19;Center I;USA;10040118;Low
19;Center J;USA;10040449;Low
20;Center A;USA;10039930;Low
20;Center C;USA;10040362;Low
20;Center E;USA;10040284;Low
20;Center F;USA;10039955;Low
20;Center F;USA;10040435;Low
20;Center G;USA;10040216;Low
20;Center J;USA;10040269;Low
21;Center B;USA;10039931;Low
21;Center C;USA;10040022;Low
21;Center E;USA;10040404;Low
21;Center F;USA;10040385;Low
21;Center G;USA;10040176;Low
21;Center H;USA;10040147;Low
21;Center H;USA;10040197;Low
21;Center H;USA;10040227;Low
21;Center J;USA;10040289;Low
21;Center J;USA;10040309;Low
22;Center A;USA;10040030;Low
22;Center A;USA;10040260;Low
22;Center B;USA;10040351;Low
22;Center D;USA;10040133;Low
22;Center E;USA;10040144;Low
22;Center F;USA;10040025;Low
22;Center F;USA;10040185;Low
22;Center F;USA;10040465;Low
22;Center G;USA;10040296;Low
22;Center H;USA;10040477;Low
23;Center A;USA;10040300;Low
23;Center A;USA;10040350;Low
23;Center B;USA;10040431;Low
23;Center D;USA;10040173;Low
23;Center D;USA;10040193;Low
23;Center D;USA;10040283;Low
23;Center D;USA;10040443;Low
23;Center E;USA;10040164;Low
23;Center F;USA;10039985;Low
23;Center G;USA;10040156;Low
23;Center H;USA;10040007;Low
23;Center H;USA;10040407;Low
24;Center A;USA;10039940;Low
24;Center A;USA;10040390;Low
24;Center B;USA;10040401;Low
24;Center C;USA;10040302;Low
24;Center C;USA;10040332;Low
24;Center C;USA;10040372;Low
24;Center D;USA;10040453;Low
24;Center E;USA;10040184;Low
24;Center G;USA;10040146;Low
24;Center H;USA;10040437;Low
24;Center J;USA;10040249;Low
25;Center A;USA;10040150;Low
25;Center A;USA;10040200;Low
25;Center A;USA;10040210;Low
25;Center A;USA;10040240;Low
25;Center A;USA;10040380;Low
25;Center B;USA;10040151;Low
25;Center C;USA;10040112;Low
25;Center C;USA;10040382;Low
25;Center D;USA;10040243;Low
25;Center E;USA;10040454;Low
25;Center F;USA;10040245;Low
25;Center H;USA;10040027;Low
25;Center H;USA;10040237;Low
25;Center I;USA;10040228;Low
25;Center I;USA;10040478;Low
25;Center J;USA;10040319;Low
25;Center J;USA;10040459;Low
26;Center A;USA;10040070;Low
26;Center B;USA;10040111;Low
26;Center B;USA;10040421;Low
26;Center B;USA;10040491;Low
26;Center C;USA;10039942;Low
26;Center D;USA;10040223;Low
26;Center F;USA;10040095;Low
26;Center J;USA;10040049;Low
27;Center A;USA;10040450;Low
27;Center F;USA;10040485;Low
27;Center G;USA;10040126;Low
27;Center G;USA;10040306;Low
27;Center G;USA;10040396;Low
27;Center H;USA;10040247;Low
27;Center H;USA;10040307;Low
27;Center H;USA;10040487;Low
27;Center I;USA;10040418;Low
27;Center J;USA;10040149;Low
27;Center J;USA;10040409;Low
28;Center A;USA;10040220;Low
28;Center B;USA;10040461;Low
28;Center C;USA;10040392;Low
28;Center D;USA;10040043;Low
28;Center E;USA;10040254;Low
28;Center E;USA;10040264;Low
28;Center F;USA;10040125;Low
28;Center F;USA;10040395;Low
28;Center G;USA;10040036;Low
28;Center H;USA;10039987;Low
28;Center H;USA;10040117;Low
28;Center I;USA;10039998;Low
28;Center J;USA;10040299;Low
28;Center J;USA;10040329;Low
29;Center A;USA;10039990;Low
29;Center A;USA;10040280;Low
29;Center A;USA;10040370;Low
29;Center C;USA;10040252;Low
29;Center F;USA;10039975;Low
29;Center F;USA;10040335;Low
29;Center G;USA;10039996;Low
29;Center G;USA;10040016;Low
29;Center G;USA;10040136;Low
29;Center H;USA;10039937;Low
29;Center I;USA;10040058;Low
29;Center J;USA;10040079;Low
29;Center J;USA;10040109;Low
30;Center A;USA;10040140;Low
30;Center C;USA;10040092;Low
30;Center C;USA;10040232;Low
30;Center D;USA;10040103;Low
30;Center E;USA;10039954;Low
30;Center E;USA;10040424;Low
30;Center G;USA;10040476;Low
30;Center H;USA;10040187;Low
30;Center H;USA;10040467;Low
30;Center I;USA;10040348;Low
31;Center B;USA;10039951;Low
31;Center B;USA;10040101;Low
31;Center C;USA;10039962;Low
31;Center C;USA;10040152;Low
31;Center D;USA;10040143;Low
31;Center G;USA;10040236;Low
31;Center I;USA;10040178;Low
31;Center I;USA;10040238;Low
32;Center A;USA;10040400;Low
32;Center A;USA;10040440;Low
32;Center C;USA;10039932;Low
32;Center E;USA;10040134;Low
32;Center E;USA;10040274;Low
32;Center E;USA;10040324;Low
32;Center E;USA;10040484;Low
32;Center H;USA;10040137;Low
32;Center H;USA;10040417;Low
32;Center H;USA;10040457;Low
32;Center I;USA;10040218;Low
32;Center I;USA;10040308;Low
32;Center J;USA;10040059;Low
32;Center J;USA;10040159;Low
32;Center J;USA;10040469;Low
33;Center B;USA;10040091;Low
33;Center B;USA;10040191;Low
33;Center B;USA;10040231;Low
33;Center B;USA;10040261;Low
33;Center D;USA;10040373;Low
33;Center E;USA;10039924;Low
33;Center E;USA;10040004;Low
33;Center E;USA;10040374;Low
33;Center F;USA;10039945;Low
33;Center F;USA;10040365;Low
33;Center G;USA;10040436;Low
33;Center H;USA;10040177;Low
33;Center H;USA;10040297;Low
33;Center I;USA;10039948;Low
33;Center I;USA;10040258;Low
33;Center I;USA;10040428;Low
33;Center J;USA;10040349;Low
33;Center J;USA;10040359;Low
34;Center C;USA;10040322;Low
34;Center C;USA;10040352;Low
34;Center E;USA;10039984;Low
34;Center E;USA;10040114;Low
34;Center G;USA;10039966;Low
34;Center G;USA;10040106;Low
34;Center H;USA;10040017;Low
34;Center I;USA;10039968;Low
34;Center I;USA;10040338;Low
34;Center J;USA;10040009;Low
35;Center A;USA;10040160;Low
35;Center C;USA;10040012;Low
35;Center F;USA;10040085;Low
35;Center F;USA;10040305;Low
35;Center H;USA;10040127;Low
35;Center I;USA;10040378;Low
35;Center J;USA;10040389;Low
36;Center C;USA;10039952;Low
36;Center C;USA;10040212;Low
36;Center C;USA;10040482;Low
36;Center E;USA;10040034;Low
36;Center F;USA;10039925;Low
36;Center G;USA;10040046;Low
36;Center G;USA;10040186;Low
36;Center G;USA;10040286;Low
36;Center G;USA;10040326;Low
36;Center J;USA;10040279;Low
37;Center A;USA;10039950;Low
37;Center B;USA;10040211;Low
37;Center B;USA;10040281;Low
37;Center D;USA;10040333;Low
37;Center E;USA;10040154;Low
37;Center F;USA;10039995;Low
37;Center F;USA;10040475;Low
37;Center H;USA;10040107;Low
37;Center I;USA;10040128;Low
37;Center I;USA;10040358;Low
37;Center J;USA;10040199;Low
38;Center A;USA;10039960;Low
38;Center B;USA;10040441;Low
38;Center C;USA;10040182;Low
38;Center D;USA;10040023;Low
38;Center E;USA;10040294;Low
38;Center F;USA;10040205;Low
38;Center G;USA;10040026;Low
38;Center H;USA;10039997;Low
38;Center I;USA;10040168;Low
38;Center J;USA;10039929;Low
38;Center J;USA;10040039;Low
39;Center A;USA;10040180;Low
39;Center B;USA;10039991;Low
39;Center B;USA;10040241;Low
39;Center B;USA;10040371;Low
39;Center F;USA;10040295;Low
39;Center H;USA;10040097;Low
39;Center J;USA;10040419;Low
39;Center J;USA;10040489;Low
40;Center B;USA;10040031;Low
40;Center C;USA;10039972;Low
40;Center C;USA;10040452;Low
40;Center D;USA;10039963;Low
40;Center F;USA;10040255;Low
40;Center F;USA;10040495;Low
40;Center H;USA;10040267;Low
40;Center I;USA;10039988;Low
40;Center J;USA;10040219;Low
41;Center A;USA;10040250;Low
41;Center B;USA;10040081;Low
41;Center D;USA;10040213;Low
41;Center D;USA;10040263;Low
41;Center D;USA;10040353;Low
41;Center D;USA;10040433;Low
41;Center E;USA;10040334;Low
41;Center E;USA;10040494;Low
41;Center G;USA;10040196;Low
41;Center G;USA;10040346;Low
41;Center H;USA;10040047;Low
41;Center H;USA;10040157;Low
41;Center H;USA;10040377;Low
41;Center I;USA;10040248;Low
41;Center I;USA;10040448;Low
41;Center J;USA;10040209;Low
42;Center D;USA;10039923;Low
42;Center D;USA;10040003;Low
42;Center D;USA;10040163;Low
42;Center D;USA;10040183;Low
42;Center F;USA;10040275;Low
42;Center G;USA;10039926;Low
42;Center H;USA;10039977;Low
42;Center J;USA;10040369;Low
43;Center A;USA;10040190;Low
43;Center A;USA;10040460;Low
43;Center C;USA;10040082;Low
43;Center C;USA;10040412;Low
43;Center D;USA;10040383;Low
43;Center E;USA;10040394;Low
43;Center F;USA;10040065;Low
43;Center F;USA;10040145;Low
43;Center G;USA;10039976;Low
43;Center G;USA;10040116;Low
43;Center G;USA;10040416;Low
43;Center H;USA;10040217;Low
43;Center J;USA;10039999;Low
43;Center J;USA;10040019;Low
44;Center B;USA;10040131;Low
44;Center C;USA;10040432;Low
44;Center E;USA;10040354;Low
44;Center E;USA;10040434;Low
44;Center G;USA;10039986;Low
44;Center I;USA;10040078;Low
44;Center I;USA;10040318;Low
44;Center J;USA;10039959;Low
45;Center B;USA;10040061;Low
45;Center B;USA;10040321;Low
45;Center D;USA;10039943;Low
45;Center D;USA;10040313;Low
45;Center F;USA;10040055;Low
45;Center G;USA;10040256;Low
45;Center I;USA;10040038;Low
45;Center I;USA;10040088;Low
46;Center B;USA;10039981;Low
46;Center C;USA;10039982;Low
46;Center C;USA;10040192;Low
46;Center D;USA;10039953;Low
46;Center D;USA;10040203;Low
