BrandName;ClassName;Manufacturer;ProductDescription;ProductKey;ProductName;ProductSubcategoryKey;UnitCost;UnitPrice
A. Datum;Deluxe;A. Datum Corporation;Digital camera, product type digital camera - compact;951;A. Datum Consumer Digital Camera E100 Black;23;143,26;281
A. Datum;Deluxe;A. Datum Corporation;Digital camera, product type digital camera - compact;965;A. Datum Consumer Digital Camera E100 Grey;23;143,26;281
A. Datum;Deluxe;A. Datum Corporation;Digital camera, product type digital camera - compact;979;A. Datum Consumer Digital Camera E100 Pink;23;143,26;281
A. Datum;Deluxe;A. Datum Corporation;Digital camera, product type digital camera - compact;993;A. Datum Consumer Digital Camera E100 Silver;23;143,26;281
A. Datum;Deluxe;A. Datum Corporation;Digital camera, product type digital camera - compact;1007;A. Datum Consumer Digital Camera E100 Orange;23;143,26;281
A. Datum;Deluxe;A. Datum Corporation;Digital camera, product type digital camera - compact;1021;A. Datum Consumer Digital Camera E100 Green;23;143,26;281
A. Datum;Deluxe;A. Datum Corporation;Digital camera, product type digital camera - compact;1035;A. Datum Consumer Digital Camera E100 Azure;23;143,26;281
A. Datum;Deluxe;A. Datum Corporation;Digital camera, Product type digital camera - compact, Dimensions 3.7 in x 1.1 in x 2.4 in;950;A. Datum Super-zoom Digital Camera X300 Black;23;96,08;290
A. Datum;Deluxe;A. Datum Corporation;Digital camera, Product type digital camera - compact, Dimensions 3.7 in x 1.1 in x 2.4 in;964;A. Datum Super-zoom Digital Camera X300 Grey;23;96,08;290
A. Datum;Deluxe;A. Datum Corporation;Digital camera, Product type digital camera - compact, Dimensions 3.7 in x 1.1 in x 2.4 in;978;A. Datum Super-zoom Digital Camera X300 Pink;23;96,08;290
A. Datum;Deluxe;A. Datum Corporation;Digital camera, Product type digital camera - compact, Dimensions 3.7 in x 1.1 in x 2.4 in;992;A. Datum Super-zoom Digital Camera X300 Silver;23;96,08;290
A. Datum;Deluxe;A. Datum Corporation;Digital camera, Product type digital camera - compact, Dimensions 3.7 in x 1.1 in x 2.4 in;1006;A. Datum Super-zoom Digital Camera X300 Orange;23;96,08;290
A. Datum;Deluxe;A. Datum Corporation;Digital camera, Product type digital camera - compact, Dimensions 3.7 in x 1.1 in x 2.4 in;1020;A. Datum Super-zoom Digital Camera X300 Green;23;96,08;290
A. Datum;Deluxe;A. Datum Corporation;Digital camera, Product type digital camera - compact, Dimensions 3.7 in x 1.1 in x 2.4 in;1034;A. Datum Super-zoom Digital Camera X300 Azure;23;96,08;290
A. Datum;Economy;A. Datum Corporation;10.2 In x 3 in x 15.3 in, 2.2 lbs;961;A. Datum Ultra Compact Digital Camera M190 Grey;23;75,88;165
A. Datum;Economy;A. Datum Corporation;10.2 In x 3 in x 15.3 in, 2.2 lbs;975;A. Datum Ultra Compact Digital Camera M190 Pink;23;75,88;165
A. Datum;Economy;A. Datum Corporation;10.2 In x 3 in x 15.3 in, 2.2 lbs;989;A. Datum Ultra Compact Digital Camera M190 Silver;23;75,88;165
A. Datum;Economy;A. Datum Corporation;10.2 In x 3 in x 15.3 in, 2.2 lbs;1003;A. Datum Ultra Compact Digital Camera M190 Orange;23;75,88;165
A. Datum;Economy;A. Datum Corporation;10.2 In x 3 in x 15.3 in, 2.2 lbs;1017;A. Datum Ultra Compact Digital Camera M190 Green;23;75,88;165
A. Datum;Economy;A. Datum Corporation;10.2 In x 3 in x 15.3 in, 2.2 lbs;1031;A. Datum Ultra Compact Digital Camera M190 Azure;23;75,88;165
A. Datum;Economy;A. Datum Corporation;10.2in x 3 in x 15.3in, 2.2 lbs;947;A. Datum Ultra Compact Digital Camera M190 Black;23;75,88;165
A. Datum;Economy;A. Datum Corporation;Continuous shooting up to 5 frames per second;1054;A. Datum SLR Camera M137 Grey;24;143,48;312
A. Datum;Economy;A. Datum Corporation;Digital camera – compact, 3.7 in x 0.9 in x 2.3;960;A. Datum Slim Digital Camera M180 Grey;23;68,06;148
A. Datum;Economy;A. Datum Corporation;Digital camera – compact, 3.7 in x 0.9 in x 2.3;974;A. Datum Slim Digital Camera M180 Pink;23;68,06;148
A. Datum;Economy;A. Datum Corporation;Digital camera – compact, 3.7 in x 0.9 in x 2.3;988;A. Datum Slim Digital Camera M180 Silver;23;68,06;148
A. Datum;Economy;A. Datum Corporation;Digital camera – compact, 3.7 in x 0.9 in x 2.3;1002;A. Datum Slim Digital Camera M180 Orange;23;68,06;148
A. Datum;Economy;A. Datum Corporation;Digital camera – compact, 3.7 in x 0.9 in x 2.3;1016;A. Datum Slim Digital Camera M180 Green;23;68,06;148
A. Datum;Economy;A. Datum Corporation;Digital camera – compact, 3.7 in x 0.9 in x 2.3;1030;A. Datum Slim Digital Camera M180 Azure;23;68,06;148
A. Datum;Economy;A. Datum Corporation;Digital camera - SLR with live view mode, 5 in x 2.4 in x 3.9 in, 15.9 oz;1058;A. Datum SLR Camera M138 Silver Grey;24;143,48;312
A. Datum;Economy;A. Datum Corporation;Digital camera - SLR with live view mode, 5.1 in x 2.1 in x 3.6 in, 13.2 oz;1070;A. Datum SLR Camera M141 Blue;24;143,48;312
A. Datum;Economy;A. Datum Corporation;Digital camera - SLR with live view mode, 5.1 in x 2.4 in x 3.9 in, 16.8 oz;1062;A. Datum SLR Camera M139 Gold;24;143,48;312
A. Datum;Economy;A. Datum Corporation;Digital camera – SLR, 5.2 in x 2.8 in x 3.7 in, 19.2 oz;1074;A. Datum SLR Camera M142 Orange;24;143,48;312
A. Datum;Economy;A. Datum Corporation;Digital camera .3.7 in x 0.9 in x 2;958;A. Datum Compact Digital Camera M200 Grey;23;59,32;129
A. Datum;Economy;A. Datum Corporation;Digital camera .3.7 in x 0.9 in x 2;972;A. Datum Compact Digital Camera M200 Pink;23;59,32;129
A. Datum;Economy;A. Datum Corporation;Digital camera .3.7 in x 0.9 in x 2;1014;A. Datum Compact Digital Camera M200 Green;23;59,32;129
A. Datum;Economy;A. Datum Corporation;Digital camera, 3.7 in x 0.9 in x 2;944;A. Datum Compact Digital Camera M200 Black;23;59,32;129
A. Datum;Economy;A. Datum Corporation;Digital camera, 3.7 in x 0.9 in x 2;986;A. Datum Compact Digital Camera M200 Silver;23;59,32;129
A. Datum;Economy;A. Datum Corporation;Digital camera, 3.7 in x 0.9 in x 2;1000;A. Datum Compact Digital Camera M200 Orange;23;59,32;129
A. Datum;Economy;A. Datum Corporation;Digital camera, 3.7 in x 0.9 in x 2;1028;A. Datum Compact Digital Camera M200 Azure;23;59,32;129
A. Datum;Economy;A. Datum Corporation;Digital camera-compact, 3.7 in x 0.9 in x 2.3;946;A. Datum Slim Digital Camera M180 Black;23;68,06;148
A. Datum;Economy;A. Datum Corporation;Optical - fixed eye-level pen, LCD display;1066;A. Datum SLR Camera M140 Pink;24;143,48;312
A. Datum;Economy;A. Datum Corporation;Powerful 12.3-megapixel live-MOSLO sensor;1050;A. Datum SLR Camera M136 Silver;24;143,48;312
A. Datum;Economy;A. Datum Corporation;SLR camera, 4.8 in x 2.7 in x 3.6 in, 1.1 lbs;1046;A. Datum SLR Camera M135 Black;24;143,48;312
A. Datum;Regular;A. Datum Corporation;4.8 In x 2.7 in x 3.6 in. 1.1 lbs;1051;"A. Datum SLR Camera 35"" M358 Silver";24;155,43;338
A. Datum;Regular;A. Datum Corporation;5 in x 2.4 in x 3.9 in, 15.9 oz, digital camera - SLR with live view mode;1059;"A. Datum SLR Camera 35"" M358 Silver Grey";24;155,43;338
A. Datum;Regular;A. Datum Corporation;8 digital-variable program automatic shooting modes;1047;"A. Datum SLR Camera 35"" M358 Black";24;155,43;338
A. Datum;Regular;A. Datum Corporation;Choice of data storage options - accepts compact flash type I & II, UDMA, Micro drives, and XD-picture cards digital 14-42mm F3.5-5.6 lens;1045;"A. Datum SLR Camera 35"" X358 Black";24;194,82;588
A. Datum;Regular;A. Datum Corporation;Compact 3x zoom lens covering the most frequently used focal range;1048;A. Datum SLR Camera X136 Silver;24;141,47;427
A. Datum;Regular;A. Datum Corporation;Compact flash type I/II, micro drive;1055;"A. Datum SLR Camera 35"" M358 Grey";24;155,43;338
A. Datum;Regular;A. Datum Corporation;Digital camera - compact .3.7 in x 0.9 in x 2 in, 4.4 oz;973;A. Datum Rangefinder Digital Camera X200 Pink;23;66,26;200
A. Datum;Regular;A. Datum Corporation;Digital camera - compact, 3.7 in x 0.9 in x 2 in, 4.4 oz;959;A. Datum Rangefinder Digital Camera X200 Grey;23;66,26;200
A. Datum;Regular;A. Datum Corporation;Digital camera - compact, 3.7 in x 0.9 in x 2 in, 4.4 oz;1015;A. Datum Rangefinder Digital Camera X200 Green;23;66,26;200
A. Datum;Regular;A. Datum Corporation;Digital camera – compact, 3.7 in x 0.9 in x 2 in, 4.4 oz;945;A. Datum Rangefinder Digital Camera X200 Black;23;66,26;200
A. Datum;Regular;A. Datum Corporation;Digital camera – compact, 3.7 in x 0.9 in x 2 in, 4.4 oz;987;A. Datum Rangefinder Digital Camera X200 Silver;23;66,26;200
A. Datum;Regular;A. Datum Corporation;Digital camera – compact, 3.7 in x 0.9 in x 2 in, 4.4 oz;1001;A. Datum Rangefinder Digital Camera X200 Orange;23;66,26;200
A. Datum;Regular;A. Datum Corporation;Digital camera – compact, 3.7 in x 0.9 in x 2 in, 4.4 oz;1029;A. Datum Rangefinder Digital Camera X200 Azure;23;66,26;200
A. Datum;Regular;A. Datum Corporation;Digital camera – compact, 3.8 in x 1 in x 2.2 in, 4.9 oz;1042;A. Datum Point Shoot Digital Camera M500 Silver Grey;23;91,05;198
A. Datum;Regular;A. Datum Corporation;Digital camera - SLR with live view mode;1063;"A. Datum SLR Camera 35"" M358 Gold";24;155,43;338
A. Datum;Regular;A. Datum Corporation;Digital camera - SLR with live view mode;1064;A. Datum SLR Camera X140 Pink;24;207,74;627
A. Datum;Regular;A. Datum Corporation;Digital camera - SLR with live view mode;1065;"A. Datum SLR Camera 35"" X358 Pink";24;194,82;588
A. Datum;Regular;A. Datum Corporation;Digital camera - SLR with live view mode;1067;"A. Datum SLR Camera 35"" M358 Pink";24;155,43;338
A. Datum;Regular;A. Datum Corporation;Digital camera - SLR with live view mode;1069;"A. Datum SLR Camera 35"" X358 Blue";24;194,82;588
A. Datum;Regular;A. Datum Corporation;Digital camera - SLR with live view mode;1072;A. Datum SLR Camera X142 Orange;24;141,47;427
A. Datum;Regular;A. Datum Corporation;Digital camera - SLR with live view mode,;1061;"A. Datum SLR Camera 35"" X358 Gold";24;194,82;588
A. Datum;Regular;A. Datum Corporation;Digital camera - SLR with live view mode, 5.8 in x 2.9 in x 4.5 in, 1.8 lbs;1060;A. Datum SLR Camera X139 Gold;24;207,74;627
A. Datum;Regular;A. Datum Corporation;Digital camera - SLR with live view mode, movie recording, 5.1 in x 2.4 in x 3.9 in, 16.9 oz;1068;A. Datum SLR Camera X141 Blue;24;141,47;427
A. Datum;Regular;A. Datum Corporation;Digital camera – SLR, 4.5 in x 2.5 in x 3.4 in, 1.2 lbs;1073;"A. Datum SLR Camera 35"" X358 Orange";24;194,82;588
A. Datum;Regular;A. Datum Corporation;Digital camera – SLR, 4.8 in x 2.7 in x 3.6 in, 1.1 lbs;1071;"A. Datum SLR Camera 35"" M358 Blue";24;155,43;338
A. Datum;Regular;A. Datum Corporation;Digital camera – SLR, 5.2 in x 2.8 in x 3.7 in, 19.2 oz;1075;"A. Datum SLR Camera 35"" M358 Orange";24;155,43;338
A. Datum;Regular;A. Datum Corporation;Digital camera, digital camera - compact, 3.9 in x 0.8 in x 2.3 in, weight 4.8 oz;957;A. Datum Full Frame Digital Camera X300 Black;23;76,53;231
A. Datum;Regular;A. Datum Corporation;Digital camera, digital camera - compact, 3.9 in x 0.8 in x 2.3 in, weight 4.8 oz;971;A. Datum Full Frame Digital Camera X300 Grey;23;76,53;231
A. Datum;Regular;A. Datum Corporation;Digital camera, digital camera - compact, 3.9 in x 0.8 in x 2.3 in, weight 4.8 oz;985;A. Datum Full Frame Digital Camera X300 Pink;23;76,53;231
A. Datum;Regular;A. Datum Corporation;Digital camera, digital camera - compact, 3.9 in x 0.8 in x 2.3 in, weight 4.8 oz;999;A. Datum Full Frame Digital Camera X300 Silver;23;76,53;231
A. Datum;Regular;A. Datum Corporation;Digital camera, digital camera - compact, 3.9 in x 0.8 in x 2.3 in, weight 4.8 oz;1013;A. Datum Full Frame Digital Camera X300 Orange;23;76,53;231
A. Datum;Regular;A. Datum Corporation;Digital camera, digital camera - compact, 3.9 in x 0.8 in x 2.3 in, weight 4.8 oz;1027;A. Datum Full Frame Digital Camera X300 Green;23;76,53;231
A. Datum;Regular;A. Datum Corporation;Digital camera, digital camera - compact, 3.9 in x 0.8 in x 2.3 in, weight 4.8 oz;1041;A. Datum Full Frame Digital Camera X300 Azure;23;76,53;231
A. Datum;Regular;A. Datum Corporation;Digital camera, product type digital camera - compact, dimensions 3.5 in x 1 in x 2.3 in;949;A. Datum Interchangeable lens Non-SLR Digital Camera X250 Black;23;88,79;268
A. Datum;Regular;A. Datum Corporation;Digital camera, product type digital camera - compact, dimensions 3.5 in x 1 in x 2.3 in;963;A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey;23;88,79;268
A. Datum;Regular;A. Datum Corporation;Digital camera, product type digital camera - compact, dimensions 3.5 in x 1 in x 2.3 in;977;A. Datum Interchangeable lens Non-SLR Digital Camera X250 Pink;23;88,79;268
A. Datum;Regular;A. Datum Corporation;Digital camera, product type digital camera - compact, dimensions 3.5 in x 1 in x 2.3 in;991;A. Datum Interchangeable lens Non-SLR Digital Camera X250 Silver;23;88,79;268
A. Datum;Regular;A. Datum Corporation;Digital camera, product type digital camera - compact, dimensions 3.5 in x 1 in x 2.3 in;1005;A. Datum Interchangeable lens Non-SLR Digital Camera X250 Orange;23;88,79;268
A. Datum;Regular;A. Datum Corporation;Digital camera, product type digital camera - compact, dimensions 3.5 in x 1 in x 2.3 in;1019;A. Datum Interchangeable lens Non-SLR Digital Camera X250 Green;23;88,79;268
