channel;DateKey;DiscountAmount;DiscountQuantity;Product_ID;PromotionKey;ReturnAmount;ReturnQuantity;SalesAmount;SalesKey;SalesQuantity;StoreKey;TotalCost;UnitCost;UnitPrice
1;01/01/2011 0:00;1,299;2;1;2;0;0;50,661;1;4;58;26,48;6,62;12,99
1;01/01/2011 0:00;1,9485;3;1;2;0;0;50,0115;1;4;69;26,48;6,62;12,99
1;01/01/2011 0:00;0;0;1;10;0;0;51,96;1;4;206;26,48;6,62;12,99
1;01/01/2011 0:00;1,299;2;2;2;0;0;50,661;1;4;35;26,48;6,62;12,99
1;01/01/2011 0:00;1,452;2;3;2;0;0;56,628;1;4;83;29,6;7,4;14,52
1;01/01/2011 0:00;8,712;3;3;10;0;0;49,368;1;4;211;29,6;7,4;14,52
1;01/01/2011 0:00;6,471;2;4;5;0;0;122,949;1;6;281;66;11;21,57
1;01/01/2011 0:00;3,2355;3;5;2;0;0;83,0445;1;4;101;44;11;21,57
1;01/01/2011 0:00;3,2355;3;6;2;0;0;83,0445;1;4;37;44;11;21,57
1;01/01/2011 0:00;4,314;1;6;10;21,57;1;81,966;1;4;240;44;11;21,57
1;01/01/2011 0:00;3,2355;3;7;2;0;0;83,0445;1;4;26;44;11;21,57
1;01/01/2011 0:00;0;0;7;2;0;0;86,28;1;4;67;44;11;21,57
1;01/01/2011 0:00;0;0;7;2;0;0;86,28;1;4;142;44;11;21,57
1;01/01/2011 0:00;3,2355;3;7;2;0;0;83,0445;1;4;165;44;11;21,57
1;01/01/2011 0:00;29,923;2;37;2;0;0;2663,147;1;9;16;892,26;99,14;299,23
1;01/01/2011 0:00;29,923;2;37;2;0;0;2663,147;1;9;128;892,26;99,14;299,23
1;01/01/2011 0:00;44,8845;3;38;2;0;0;2648,1855;1;9;51;892,26;99,14;299,23
1;01/01/2011 0:00;14,9615;1;38;2;0;0;2678,1085;1;9;180;892,26;99,14;299,23
1;01/01/2011 0:00;59,846;1;39;10;299,23;1;2333,994;1;8;207;693,98;99,14;299,23
1;01/01/2011 0:00;14,9615;1;40;2;0;0;2678,1085;1;9;105;892,26;99,14;299,23
1;01/01/2011 0:00;119,692;2;40;10;299,23;1;2274,148;1;8;214;693,98;99,14;299,23
1;01/01/2011 0:00;0;0;46;2;0;0;599,8;1;4;66;305,8;76,45;149,95
1;01/01/2011 0:00;22,4925;3;46;2;149,95;1;577,3075;1;4;150;305,8;76,45;149,95
1;01/01/2011 0:00;14,995;2;46;2;0;0;584,805;1;4;194;305,8;76,45;149,95
1;01/01/2011 0:00;59,98;2;46;10;0;0;539,82;1;4;202;305,8;76,45;149,95
1;01/01/2011 0:00;7,4975;1;47;2;0;0;592,3025;1;4;103;305,8;76,45;149,95
1;01/01/2011 0:00;0;0;47;2;0;0;599,8;1;4;132;305,8;76,45;149,95
1;01/01/2011 0:00;7,4975;1;47;2;0;0;592,3025;1;4;149;305,8;76,45;149,95
1;01/01/2011 0:00;14,995;2;47;2;0;0;584,805;1;4;192;305,8;76,45;149,95
1;01/01/2011 0:00;89,97;3;47;10;149,95;1;509,83;1;4;233;305,8;76,45;149,95
1;01/01/2011 0:00;7,4975;1;48;2;0;0;592,3025;1;4;27;305,8;76,45;149,95
1;01/01/2011 0:00;29,99;4;48;2;0;0;569,81;1;4;284;305,8;76,45;149,95
1;01/01/2011 0:00;29,99;1;48;10;149,95;1;569,81;1;4;244;305,8;76,45;149,95
1;01/01/2011 0:00;0;0;48;10;0;0;599,8;1;4;245;305,8;76,45;149,95
1;01/01/2011 0:00;2,569;2;66;2;0;0;100,191;1;4;164;52,4;13,1;25,69
1;01/01/2011 0:00;0;0;67;2;0;0;102,76;1;4;13;52,4;13,1;25,69
1;01/01/2011 0:00;5,138;4;68;2;0;0;97,622;1;4;186;52,4;13,1;25,69
