	Country	Date	value	Arima ForecastValue Future	Arima ForecastValue Validation	Arima MSE	Auto-Arima ForecastValue Future	Auto-Arima ForecastValue Validation	Auto-Arima MSE	Prophet ForecastValue Future	Prophet ForecastValue Validation	Prophet MSE	Regression ForecastValue Future	Regression ForecastValue Validation	Regression MSE	Regression Slope	Regression Slope Monthly Change Proj	Regression Trend Direction
76847	Australia	1990-01-01	17333.1															
76848	Australia	1991-01-01	17793.6															
76849	Australia	1992-01-01	18189.34															
76850	Australia	1993-01-01	19130.89															
76851	Australia	1994-01-01	20063.81															
76852	Australia	1995-01-01	20894.4															
76853	Australia	1996-01-01	21972.05															
76854	Australia	1997-01-01	22934.79															
76855	Australia	1998-01-01	24196.72															
76856	Australia	1999-01-01	25250.51															
76857	Australia	2000-01-01	26316.73															
76858	Australia	2001-01-01	27325.05															
76859	Australia	2002-01-01	28706.44															
76860	Australia	2003-01-01	29681.6															
76861	Australia	2004-01-01	31297.4															
76862	Australia	2005-01-01	32539.08															
76863	Australia	2006-01-01	34282.17															
76864	Australia	2007-01-01	36511.69															
76865	Australia	2008-01-01	37409.16															
76866	Australia	2009-01-01	40241.37															
76867	Australia	2010-01-01	39259.94															
76868	Australia	2011-01-01	41894.17															
76869	Australia	2012-01-01	42750.87															
76870	Australia	2013-01-01	45829.59															
76871	Australia	2014-01-01	46799.45															
76872	Australia	2015-01-01	46185.09															
76873	Australia	2016-01-01	47274.26															
76874	Australia	2017-01-01	49378.28															
76875	Austria	1990-01-01	19442.31															
76876	Austria	1991-01-01	20585.02															
76877	Austria	1992-01-01	21259.64															
76878	Austria	1993-01-01	21698.31															
76879	Austria	1994-01-01	22606.83															
76880	Austria	1995-01-01	23660.41															
76881	Austria	1996-01-01	24529.21															
76882	Austria	1997-01-01	25424.07															
76883	Austria	1998-01-01	26674.61															
76884	Austria	1999-01-01	27606.48															
76885	Austria	2000-01-01	29380.07															
76886	Austria	2001-01-01	29715.22															
76887	Austria	2002-01-01	31178.69															
76888	Austria	2003-01-01	32108.63															
76889	Austria	2004-01-01	33743.04															
76890	Austria	2005-01-01	35013.71															
76891	Austria	2006-01-01	37623.08															
76892	Austria	2007-01-01	39392.54															
76893	Austria	2008-01-01	41316.23															
76894	Austria	2009-01-01	40926.52															
76895	Austria	2010-01-01	42006.05															
76896	Austria	2011-01-01	44452.73															
76897	Austria	2012-01-01	46457.35															
76898	Austria	2013-01-01	47922.05															
76899	Austria	2014-01-01	48799.72															
76900	Austria	2015-01-01	49877.71															
76901	Austria	2016-01-01	51655.5															
76902	Austria	2017-01-01	53879.3															
76903	Belgium	1990-01-01	18759.0															
76904	Belgium	1991-01-01	19675.63															
76905	Belgium	1992-01-01	20349.33															
76906	Belgium	1993-01-01	20550.64															
76907	Belgium	1994-01-01	21600.13															
76908	Belgium	1995-01-01	22531.72															
76909	Belgium	1996-01-01	22891.1															
76910	Belgium	1997-01-01	23927.51															
76911	Belgium	1998-01-01	24563.98															
76912	Belgium	1999-01-01	25642.26															
76913	Belgium	2000-01-01	27988.47															
76914	Belgium	2001-01-01	28958.49															
76915	Belgium	2002-01-01	30482.78															
76916	Belgium	2003-01-01	31056.43															
76917	Belgium	2004-01-01	32237.97															
76918	Belgium	2005-01-01	33332.33															
76919	Belgium	2006-01-01	35386.24															
76920	Belgium	2007-01-01	36872.63															
76921	Belgium	2008-01-01	38133.5															
76922	Belgium	2009-01-01	38008.83															
76923	Belgium	2010-01-01	40051.96															
76924	Belgium	2011-01-01	41284.15															
76925	Belgium	2012-01-01	42435.91															
76926	Belgium	2013-01-01	43611.07															
76927	Belgium	2014-01-01	44604.51															
76928	Belgium	2015-01-01	45582.1															
76929	Belgium	2016-01-01	47220.36															
76930	Belgium	2017-01-01	49366.68															
76931	Canada	1990-01-01	20101.44															
76932	Canada	1991-01-01	20064.65															
76933	Canada	1992-01-01	20450.54															
76934	Canada	1993-01-01	21257.05															
76935	Canada	1994-01-01	22469.51															
76936	Canada	1995-01-01	23360.67															
76937	Canada	1996-01-01	23912.69															
76938	Canada	1997-01-01	25099.38															
76939	Canada	1998-01-01	26139.89															
76940	Canada	1999-01-01	27656.68															
76941	Canada	2000-01-01	29185.14															
76942	Canada	2001-01-01	30048.57															
76943	Canada	2002-01-01	30851.31															
76944	Canada	2003-01-01	32192.47															
76945	Canada	2004-01-01	33739.57															
76946	Canada	2005-01-01	36134.6															
76947	Canada	2006-01-01	37999.82															
76948	Canada	2007-01-01	39441.12															
76949	Canada	2008-01-01	40277.62															
76950	Canada	2009-01-01	38797.76															
76951	Canada	2010-01-01	40011.94															
76952	Canada	2011-01-01	41565.27															
76953	Canada	2012-01-01	42145.1															
76954	Canada	2013-01-01	44101.47															
76955	Canada	2014-01-01	45519.79															
76956	Canada	2015-01-01	44406.67															
76957	Canada	2016-01-01	44819.11															
76958	Canada	2017-01-01	46509.72															
76959	Czechia	1990-01-01	12659.85															
76960	Czechia	1991-01-01	11595.62															
76961	Czechia	1992-01-01	11787.74															
76962	Czechia	1993-01-01	12061.95															
76963	Czechia	1994-01-01	12673.35															
76964	Czechia	1995-01-01	13752.51															
76965	Czechia	1996-01-01	14583.43															
76966	Czechia	1997-01-01	14730.62															
76967	Czechia	1998-01-01	14906.4															
76968	Czechia	1999-01-01	15324.11															
76969	Czechia	2000-01-01	16190.81															
76970	Czechia	2001-01-01	17554.49															
76971	Czechia	2002-01-01	18189.23															
76972	Czechia	2003-01-01	19426.09															
76973	Czechia	2004-01-01	20799.16															
76974	Czechia	2005-01-01	21956.38															
76975	Czechia	2006-01-01	23776.49															
76976	Czechia	2007-01-01	26124.9															
76977	Czechia	2008-01-01	27844.8															
76978	Czechia	2009-01-01	27599.3															
76979	Czechia	2010-01-01	27667.43															
76980	Czechia	2011-01-01	28797.42															
76981	Czechia	2012-01-01	29047.25															
76982	Czechia	2013-01-01	30485.71															
76983	Czechia	2014-01-01	32263.32															
76984	Czechia	2015-01-01	33691.42															
76985	Czechia	2016-01-01	35230.52															
76986	Czechia	2017-01-01	38019.58															
76987	Denmark	1990-01-01	18215.51															
76988	Denmark	1991-01-01	19044.47															
76989	Denmark	1992-01-01	19794.11															
76990	Denmark	1993-01-01	20197.84															
76991	Denmark	1994-01-01	21655.92															
76992	Denmark	1995-01-01	22661.06															
76993	Denmark	1996-01-01	23711.02															
76994	Denmark	1997-01-01	24925.79															
76995	Denmark	1998-01-01	25813.65															
76996	Denmark	1999-01-01	26653.83															
76997	Denmark	2000-01-01	28662.11															
76998	Denmark	2001-01-01	29449.61															
76999	Denmark	2002-01-01	30640.35															
77000	Denmark	2003-01-01	30786.24															
77001	Denmark	2004-01-01	32908.69															
77002	Denmark	2005-01-01	34150.16															
77003	Denmark	2006-01-01	37295.65															
77004	Denmark	2007-01-01	38968.51															
77005	Denmark	2008-01-01	41278.33															
77006	Denmark	2009-01-01	40339.69															
77007	Denmark	2010-01-01	42999.63															
77008	Denmark	2011-01-01	44403.39															
77009	Denmark	2012-01-01	44803.96															
77010	Denmark	2013-01-01	46726.85															
77011	Denmark	2014-01-01	47901.45															
77012	Denmark	2015-01-01	49058.5															
77013	Denmark	2016-01-01	50694.19															
77014	Denmark	2017-01-01	54356.45															
77015	Finland	1990-01-01	18149.46															
77016	Finland	1991-01-01	17557.34															
77017	Finland	1992-01-01	17263.16															
77018	Finland	1993-01-01	17457.7															
77019	Finland	1994-01-01	18453.17															
77020	Finland	1995-01-01	19557.94															
77021	Finland	1996-01-01	20057.65															
