Date,IT Dep.,CostElement,Country,Budget
1/01/2020,Administration,Employee Performance,USA,87
1/02/2020,Administration,Employee Performance,USA,87
1/03/2020,Administration,Employee Performance,USA,87
1/04/2020,Administration,Employee Performance,USA,87
1/05/2020,Administration,Employee Performance,USA,87
1/06/2020,Administration,Employee Performance,USA,87
1/07/2020,Administration,Employee Performance,USA,87
1/08/2020,Administration,Employee Performance,USA,87
1/09/2020,Administration,Employee Performance,USA,87
1/10/2020,Administration,Employee Performance,USA,87
1/11/2020,Administration,Employee Performance,USA,87
1/12/2020,Administration,Employee Performance,USA,87
1/01/2020,Administration,External Labor,USA,"15,300"
1/02/2020,Administration,External Labor,USA,"15,300"
1/03/2020,Administration,External Labor,USA,"15,300"
1/04/2020,Administration,External Labor,USA,"21,900"
1/05/2020,Administration,External Labor,USA,"21,300"
1/06/2020,Administration,External Labor,USA,"21,300"
1/07/2020,Administration,External Labor,USA,"114,300"
1/08/2020,Administration,External Labor,USA,"114,300"
1/09/2020,Administration,External Labor,USA,"114,300"
1/10/2020,Administration,External Labor,USA,"120,330"
1/11/2020,Administration,External Labor,USA,"144,300"
1/12/2020,Administration,External Labor,USA,"144,300"
1/01/2020,Administration,Hardware Maintenance,USA,135
1/02/2020,Administration,Hardware Maintenance,USA,135
1/03/2020,Administration,Hardware Maintenance,USA,135
1/04/2020,Administration,Hardware Maintenance,USA,135
1/05/2020,Administration,Hardware Maintenance,USA,135
1/06/2020,Administration,Hardware Maintenance,USA,135
1/07/2020,Administration,Hardware Maintenance,USA,135
1/08/2020,Administration,Hardware Maintenance,USA,135
1/09/2020,Administration,Hardware Maintenance,USA,135
1/10/2020,Administration,Hardware Maintenance,USA,135
1/11/2020,Administration,Hardware Maintenance,USA,135
1/12/2020,Administration,Hardware Maintenance,USA,135
1/01/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/02/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/03/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/04/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/05/2020,Administration,Internal Labor,United Kingdom,"-16,369"
