Date,IT Dep.,CostElement,Country,Forecast
1/07/2020,Administration,Administrative,USA,"-21,785"
1/08/2020,Administration,Administrative,USA,"-21,785"
1/09/2020,Administration,Administrative,USA,"-21,785"
1/10/2020,Administration,Administrative,USA,"-21,785"
1/11/2020,Administration,Administrative,USA,"-21,785"
1/12/2020,Administration,Administrative,USA,"-21,785"
1/02/2020,Administration,Employee Performance,USA,27
1/03/2020,Administration,Employee Performance,USA,150
1/04/2020,Administration,Employee Performance,USA,182
1/05/2020,Administration,Employee Performance,USA,"14,265"
1/06/2020,Administration,Employee Performance,USA,383
1/07/2020,Administration,Employee Performance,USA,87
1/08/2020,Administration,Employee Performance,USA,87
1/09/2020,Administration,Employee Performance,USA,87
1/10/2020,Administration,Employee Performance,USA,87
1/11/2020,Administration,Employee Performance,USA,87
1/12/2020,Administration,Employee Performance,USA,87
1/01/2020,Administration,External Labor,United Kingdom,"1,754"
1/02/2020,Administration,External Labor,United Kingdom,"3,535"
1/03/2020,Administration,External Labor,United Kingdom,"2,218"
1/04/2020,Administration,External Labor,United Kingdom,"2,048"
1/05/2020,Administration,External Labor,United Kingdom,"4,385"
1/06/2020,Administration,External Labor,United Kingdom,"1,486"
1/01/2020,Administration,External Labor,USA,"24,376"
1/02/2020,Administration,External Labor,USA,"1,205"
1/03/2020,Administration,External Labor,USA,"96,906"
1/04/2020,Administration,External Labor,USA,"31,261"
1/05/2020,Administration,External Labor,USA,"13,056"
1/06/2020,Administration,External Labor,USA,"23,936"
1/07/2020,Administration,External Labor,USA,"60,450"
1/08/2020,Administration,External Labor,USA,"108,000"
1/09/2020,Administration,External Labor,USA,"108,000"
1/10/2020,Administration,External Labor,USA,"114,030"
1/11/2020,Administration,External Labor,USA,"138,000"
1/12/2020,Administration,External Labor,USA,"138,000"
1/03/2020,Administration,Hardware,USA,"2,901"
1/04/2020,Administration,Hardware,USA,24
1/05/2020,Administration,Hardware,USA,66
1/01/2020,Administration,Hardware Maintenance,USA,"5,345"
1/02/2020,Administration,Hardware Maintenance,USA,"-5,345"
1/04/2020,Administration,Hardware Maintenance,USA,"86,480"
1/07/2020,Administration,Hardware Maintenance,USA,135
1/08/2020,Administration,Hardware Maintenance,USA,135
1/09/2020,Administration,Hardware Maintenance,USA,135
1/10/2020,Administration,Hardware Maintenance,USA,135
1/11/2020,Administration,Hardware Maintenance,USA,135
1/12/2020,Administration,Hardware Maintenance,USA,135
1/01/2020,Administration,Inbound Allocations,United Kingdom,318
1/03/2020,Administration,Inbound Allocations,United Kingdom,666
1/02/2020,Administration,Internal Labor,Germany,"-146,561"
1/03/2020,Administration,Internal Labor,Germany,"30,764"
1/04/2020,Administration,Internal Labor,Germany,"5,243"
1/05/2020,Administration,Internal Labor,Germany,"20,399"
1/06/2020,Administration,Internal Labor,Germany,938
1/01/2020,Administration,Internal Labor,Italy,"5,599"
1/02/2020,Administration,Internal Labor,Italy,"9,437"
1/03/2020,Administration,Internal Labor,Italy,"2,193"
1/04/2020,Administration,Internal Labor,Italy,"4,409"
1/05/2020,Administration,Internal Labor,Italy,"5,087"
1/06/2020,Administration,Internal Labor,Italy,"4,734"
1/01/2020,Administration,Internal Labor,United Kingdom,"21,365"
1/02/2020,Administration,Internal Labor,United Kingdom,"23,189"
1/03/2020,Administration,Internal Labor,United Kingdom,"21,311"
1/04/2020,Administration,Internal Labor,United Kingdom,"22,211"
1/05/2020,Administration,Internal Labor,United Kingdom,"23,114"
1/06/2020,Administration,Internal Labor,United Kingdom,"22,775"
1/07/2020,Administration,Internal Labor,United Kingdom,"-28,061"
1/08/2020,Administration,Internal Labor,United Kingdom,"-28,061"
1/09/2020,Administration,Internal Labor,United Kingdom,"-28,061"
1/10/2020,Administration,Internal Labor,United Kingdom,"-28,061"
1/11/2020,Administration,Internal Labor,United Kingdom,"-28,061"
1/12/2020,Administration,Internal Labor,United Kingdom,"-28,061"
1/01/2020,Administration,Internal Labor,USA,"90,994"
1/02/2020,Administration,Internal Labor,USA,"103,135"
1/03/2020,Administration,Internal Labor,USA,"116,809"
1/04/2020,Administration,Internal Labor,USA,"92,221"
1/05/2020,Administration,Internal Labor,USA,"126,128"
1/06/2020,Administration,Internal Labor,USA,"95,333"
1/07/2020,Administration,Internal Labor,USA,"107,178"
1/08/2020,Administration,Internal Labor,USA,"107,178"
1/09/2020,Administration,Internal Labor,USA,"107,178"
1/10/2020,Administration,Internal Labor,USA,"108,580"
1/11/2020,Administration,Internal Labor,USA,"108,580"
1/12/2020,Administration,Internal Labor,USA,"108,623"
1/01/2020,Administration,Legal,USA,"7,258"
1/02/2020,Administration,Legal,USA,"22,458"
1/03/2020,Administration,Legal,USA,562
1/04/2020,Administration,Legal,USA,"1,759"
1/05/2020,Administration,Legal,USA,648
1/07/2020,Administration,Legal,USA,"6,300"
1/08/2020,Administration,Legal,USA,"6,300"
1/09/2020,Administration,Legal,USA,"6,300"
1/10/2020,Administration,Legal,USA,"6,300"
1/11/2020,Administration,Legal,USA,"6,300"
1/12/2020,Administration,Legal,USA,"6,300"
1/01/2020,Administration,Moving,USA,404
1/02/2020,Administration,Moving,USA,744
1/03/2020,Administration,Moving,USA,867
1/04/2020,Administration,Moving,USA,"12,611"
1/05/2020,Administration,Moving,USA,"18,227"
1/06/2020,Administration,Moving,USA,"4,081"
1/07/2020,Administration,Moving,USA,"2,400"
1/02/2020,Administration,Other,Germany,35
1/01/2020,Administration,Other,Italy,12
1/03/2020,Administration,Other,Italy,-30
1/04/2020,Administration,Other,Italy,3
1/01/2020,Administration,Other,United Kingdom,18
1/02/2020,Administration,Other,United Kingdom,6
1/03/2020,Administration,Other,United Kingdom,13
1/01/2020,Administration,Other,USA,"-3,239"
1/02/2020,Administration,Other,USA,"-5,109"
1/03/2020,Administration,Other,USA,"29,563"
1/04/2020,Administration,Other,USA,"8,125"
1/05/2020,Administration,Other,USA,669
1/06/2020,Administration,Other,USA,182
1/07/2020,Administration,Other,USA,632
1/08/2020,Administration,Other,USA,"24,632"
1/09/2020,Administration,Other,USA,"20,132"
1/10/2020,Administration,Other,USA,"1,682"
1/11/2020,Administration,Other,USA,632
1/12/2020,Administration,Other,USA,"20,132"
1/01/2020,Administration,Outbound Allocations,United Kingdom,685
1/02/2020,Administration,Outbound Allocations,United Kingdom,708
1/03/2020,Administration,Outbound Allocations,United Kingdom,717
1/04/2020,Administration,Outbound Allocations,United Kingdom,714
1/05/2020,Administration,Outbound Allocations,United Kingdom,743
1/06/2020,Administration,Outbound Allocations,United Kingdom,732
1/07/2020,Administration,Outbound Allocations,United Kingdom,721
1/08/2020,Administration,Outbound Allocations,United Kingdom,721
1/09/2020,Administration,Outbound Allocations,United Kingdom,721
1/10/2020,Administration,Outbound Allocations,United Kingdom,721
1/11/2020,Administration,Outbound Allocations,United Kingdom,721
1/12/2020,Administration,Outbound Allocations,United Kingdom,721
1/05/2020,Administration,Recognition,USA,44
1/07/2020,Administration,Recognition,USA,23
1/08/2020,Administration,Recognition,USA,23
1/09/2020,Administration,Recognition,USA,23
1/10/2020,Administration,Recognition,USA,23
1/11/2020,Administration,Recognition,USA,23
1/12/2020,Administration,Recognition,USA,23
1/01/2020,Administration,Severance,Italy,388
1/02/2020,Administration,Severance,Italy,312
1/03/2020,Administration,Severance,Italy,"-42,763"
1/04/2020,Administration,Severance,Italy,332
1/05/2020,Administration,Severance,Italy,371
1/06/2020,Administration,Severance,Italy,452
1/01/2020,Administration,Software,USA,5
1/04/2020,Administration,Software Maintenance,USA,269
1/06/2020,Administration,Software Maintenance,USA,-269
1/01/2020,Administration,Supplies,USA,17
1/02/2020,Administration,Supplies,USA,30
1/03/2020,Administration,Supplies,USA,466
1/04/2020,Administration,Supplies,USA,244
1/05/2020,Administration,Supplies,USA,227
1/07/2020,Administration,Supplies,USA,458
1/08/2020,Administration,Supplies,USA,458
1/09/2020,Administration,Supplies,USA,458
1/10/2020,Administration,Supplies,USA,458
1/11/2020,Administration,Supplies,USA,458
1/12/2020,Administration,Supplies,USA,458
1/01/2020,Administration,Telecomm,Italy,2
1/02/2020,Administration,Telecomm,Italy,2
1/03/2020,Administration,Telecomm,Italy,82
1/04/2020,Administration,Telecomm,Italy,13
1/05/2020,Administration,Telecomm,Italy,43
1/06/2020,Administration,Telecomm,Italy,-1
1/01/2020,Administration,Telecomm,United Kingdom,103
1/02/2020,Administration,Telecomm,United Kingdom,85
1/03/2020,Administration,Telecomm,United Kingdom,215
1/02/2020,Administration,Telecomm,USA,"5,219"
1/03/2020,Administration,Telecomm,USA,"1,073"
1/04/2020,Administration,Telecomm,USA,"1,140"
1/06/2020,Administration,Telecomm,USA,"1,685"
1/07/2020,Administration,Telecomm,USA,"3,000"
1/08/2020,Administration,Telecomm,USA,"3,000"
1/09/2020,Administration,Telecomm,USA,"3,000"
1/10/2020,Administration,Telecomm,USA,"3,000"
1/11/2020,Administration,Telecomm,USA,"3,000"
1/12/2020,Administration,Telecomm,USA,"3,000"
1/02/2020,Administration,Training,Germany,767
1/03/2020,Administration,Training,Germany,"4,064"
1/05/2020,Administration,Training,Germany,533
1/03/2020,Administration,Training,USA,88
1/05/2020,Administration,Training,USA,525
1/06/2020,Administration,Training,USA,"1,069"
1/07/2020,Administration,Training,USA,"1,563"
1/08/2020,Administration,Training,USA,"1,563"
1/09/2020,Administration,Training,USA,"1,458"
1/10/2020,Administration,Training,USA,"1,458"
1/11/2020,Administration,Training,USA,"1,739"
1/12/2020,Administration,Training,USA,"2,411"
1/03/2020,Administration,Travel,Germany,95
1/06/2020,Administration,Travel,Italy,203
1/01/2020,Administration,Travel,USA,"6,934"
1/02/2020,Administration,Travel,USA,"19,226"
1/03/2020,Administration,Travel,USA,"10,518"
1/04/2020,Administration,Travel,USA,"10,570"
1/05/2020,Administration,Travel,USA,"13,643"
1/06/2020,Administration,Travel,USA,"17,817"
1/12/2020,Administration,Travel,USA,"18,600"
1/01/2020,Administration,Vehicles,United Kingdom,62
1/02/2020,Administration,Vehicles,United Kingdom,32
1/04/2020,Administration,Vehicles,United Kingdom,230
1/01/2020,Architecture,Depreciation,USA,693
1/02/2020,Architecture,Depreciation,USA,693
1/03/2020,Architecture,Depreciation,USA,693
1/04/2020,Architecture,Depreciation,USA,693
1/05/2020,Architecture,Depreciation,USA,693
1/06/2020,Architecture,Depreciation,USA,693
1/07/2020,Architecture,Depreciation,USA,693
1/08/2020,Architecture,Depreciation,USA,693
1/09/2020,Architecture,Depreciation,USA,693
1/10/2020,Architecture,Depreciation,USA,693
1/11/2020,Architecture,Depreciation,USA,693
1/12/2020,Architecture,Depreciation,USA,693
1/02/2020,Architecture,Employee Performance,USA,218
1/03/2020,Architecture,Employee Performance,USA,4
1/04/2020,Architecture,Employee Performance,USA,330
1/07/2020,Architecture,Employee Performance,USA,20
1/08/2020,Architecture,Employee Performance,USA,20
1/09/2020,Architecture,Employee Performance,USA,20
1/10/2020,Architecture,Employee Performance,USA,20
1/11/2020,Architecture,Employee Performance,USA,20
1/12/2020,Architecture,Employee Performance,USA,20
1/07/2020,Architecture,External Labor,USA,"2,157"
1/08/2020,Architecture,External Labor,USA,"2,157"
1/09/2020,Architecture,External Labor,USA,"2,157"
1/10/2020,Architecture,External Labor,USA,"2,157"
1/11/2020,Architecture,External Labor,USA,"2,157"
1/12/2020,Architecture,External Labor,USA,"2,157"
1/03/2020,Architecture,Hardware,USA,240
1/05/2020,Architecture,Hardware,USA,500
1/07/2020,Architecture,Hardware,USA,"1,609"
1/08/2020,Architecture,Hardware,USA,"1,609"
1/09/2020,Architecture,Hardware,USA,"1,609"
1/10/2020,Architecture,Hardware,USA,"1,609"
1/11/2020,Architecture,Hardware,USA,"1,609"
1/12/2020,Architecture,Hardware,USA,"1,609"
1/07/2020,Architecture,Hardware Maintenance,USA,15
1/08/2020,Architecture,Hardware Maintenance,USA,15
1/09/2020,Architecture,Hardware Maintenance,USA,15
1/10/2020,Architecture,Hardware Maintenance,USA,15
1/11/2020,Architecture,Hardware Maintenance,USA,15
1/12/2020,Architecture,Hardware Maintenance,USA,15
1/01/2020,Architecture,Internal Labor,USA,"41,537"
1/02/2020,Architecture,Internal Labor,USA,"43,028"
1/03/2020,Architecture,Internal Labor,USA,"45,385"
1/04/2020,Architecture,Internal Labor,USA,"41,175"
1/05/2020,Architecture,Internal Labor,USA,"39,924"
1/06/2020,Architecture,Internal Labor,USA,"40,012"
1/07/2020,Architecture,Internal Labor,USA,"41,300"
1/08/2020,Architecture,Internal Labor,USA,"41,149"
1/09/2020,Architecture,Internal Labor,USA,"40,889"
1/10/2020,Architecture,Internal Labor,USA,"41,325"
1/11/2020,Architecture,Internal Labor,USA,"41,192"
1/12/2020,Architecture,Internal Labor,USA,"41,184"
1/05/2020,Architecture,Moving,USA,62
1/02/2020,Architecture,Other,USA,"9,379"
1/03/2020,Architecture,Other,USA,"-1,583"
1/04/2020,Architecture,Other,USA,"-1,583"
1/05/2020,Architecture,Other,USA,"-1,583"
1/06/2020,Architecture,Other,USA,-375
1/07/2020,Architecture,Other,USA,514
1/08/2020,Architecture,Other,USA,514
1/09/2020,Architecture,Other,USA,"7,264"
1/10/2020,Architecture,Other,USA,"7,264"
1/11/2020,Architecture,Other,USA,"7,264"
1/12/2020,Architecture,Other,USA,"7,264"
1/07/2020,Architecture,Recognition,USA,26
1/08/2020,Architecture,Recognition,USA,26
1/09/2020,Architecture,Recognition,USA,26
1/10/2020,Architecture,Recognition,USA,26
1/11/2020,Architecture,Recognition,USA,26
1/12/2020,Architecture,Recognition,USA,26
1/07/2020,Architecture,Software,USA,"1,071"
1/08/2020,Architecture,Software,USA,"1,071"
1/09/2020,Architecture,Software,USA,"1,071"
1/10/2020,Architecture,Software,USA,"1,071"
1/11/2020,Architecture,Software,USA,"1,071"
1/12/2020,Architecture,Software,USA,"1,071"
1/04/2020,Architecture,Software Maintenance,USA,539
1/06/2020,Architecture,Software Maintenance,USA,-539
1/01/2020,Architecture,Supplies,USA,26
1/02/2020,Architecture,Supplies,USA,2
1/03/2020,Architecture,Supplies,USA,27
1/04/2020,Architecture,Supplies,USA,79
1/06/2020,Architecture,Supplies,USA,90
1/07/2020,Architecture,Supplies,USA,311
1/08/2020,Architecture,Supplies,USA,311
1/09/2020,Architecture,Supplies,USA,311
1/10/2020,Architecture,Supplies,USA,311
1/11/2020,Architecture,Supplies,USA,311
1/12/2020,Architecture,Supplies,USA,311
1/01/2020,Architecture,Taxes,USA,48
1/02/2020,Architecture,Taxes,USA,39
1/03/2020,Architecture,Taxes,USA,44
1/04/2020,Architecture,Taxes,USA,44
1/05/2020,Architecture,Taxes,USA,44
1/06/2020,Architecture,Taxes,USA,44
1/07/2020,Architecture,Taxes,USA,44
1/08/2020,Architecture,Taxes,USA,44
1/09/2020,Architecture,Taxes,USA,44
1/10/2020,Architecture,Taxes,USA,44
1/11/2020,Architecture,Taxes,USA,44
1/12/2020,Architecture,Taxes,USA,44
1/02/2020,Architecture,Telecomm,USA,263
1/03/2020,Architecture,Telecomm,USA,516
1/04/2020,Architecture,Telecomm,USA,178
1/06/2020,Architecture,Telecomm,USA,771
1/07/2020,Architecture,Telecomm,USA,"1,180"
1/08/2020,Architecture,Telecomm,USA,"1,180"
1/09/2020,Architecture,Telecomm,USA,"1,180"
1/10/2020,Architecture,Telecomm,USA,"1,180"
1/11/2020,Architecture,Telecomm,USA,"1,180"
1/12/2020,Architecture,Telecomm,USA,"1,180"
1/01/2020,Architecture,Training,USA,14
1/03/2020,Architecture,Training,USA,"1,106"
1/04/2020,Architecture,Training,USA,315
1/05/2020,Architecture,Training,USA,420
1/07/2020,Architecture,Training,USA,"1,941"
1/08/2020,Architecture,Training,USA,"1,941"
1/09/2020,Architecture,Training,USA,"1,941"
1/10/2020,Architecture,Training,USA,"1,941"
1/11/2020,Architecture,Training,USA,"1,941"
1/12/2020,Architecture,Training,USA,205
1/01/2020,Architecture,Travel,USA,54
