Order ID,Order Date,Ship Date,Country,State,Postal Code,Region,Catedory,Sub-Category,Product name,Sales,Quantity,Discount,Profit,Unnamed: 14,Unnamed: 15,Unnamed: 16
2,17/09/2018,21/09/2018,México,Guerrero,19140,West,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,,,
3,17/09/2018,21/09/2018,México,Guerrero,19140,West,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,,,
4,17/09/2018,21/09/2018,México,Guerrero,19140,West,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,,,
5,17/09/2018,21/09/2018,México,Guerrero,19140,West,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,,,
6,17/09/2018,21/09/2018,México,Guerrero,19140,West,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,,,
7,17/09/2018,21/09/2018,México,Guerrero,19140,West,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,,,
8,17/09/2018,21/09/2018,México,Guerrero,19140,West,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.5460000000000003,,,
9,19/10/2020,23/10/2020,México,Baja California Sur,77095,North,Office Supplies,Paper,Easy-staple paper,29.471999999999998,3,0.2,9.9468,,,
10,08/12/2019,10/12/2019,México,Baja California Sur,75080,North,Technology,Phones,GE 30524EE4,1097.5439999999999,7,0.2,123.4737,,,
11,08/12/2019,10/12/2019,México,Baja California Sur,75080,North,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,,,
12,27/12/2018,31/12/2018,México,Baja California Sur,77041,North,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.32799999999999,9,0.2,35.415,,,
13,27/12/2018,31/12/2018,México,Baja California Sur,77041,North,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,,,
14,27/12/2018,31/12/2018,México,Baja California Sur,77041,North,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,,,
15,27/12/2018,31/12/2018,México,Baja California Sur,77041,North,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,,,
16,10/09/2020,15/09/2020,México,Durango,60540,North,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,,,
17,19/09/2020,23/09/2020,México,Oaxaca,32935,East,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,,,
20,20/10/2021,25/10/2021,México,Verracruz,48185,,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,,,
21,18/04/2018,22/04/2018,México,Cohaulia,47150,,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,,,
22,18/04/2018,22/04/2018,México,Cohaulia,47150,,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,,,
23,18/04/2018,22/04/2018,México,Cohaulia,47150,,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,,,
24,18/04/2018,22/04/2018,México,Cohaulia,47150,,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,,,
25,11/12/2019,17/12/2019,México,Yucatán,10024,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,,,
26,11/12/2019,17/12/2019,México,Yucatán,10024,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,,,
27,17/06/2019,18/06/2019,México,Yucatán,12180,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,,,
28,17/06/2019,18/06/2019,México,Yucatán,12180,East,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552,,,
29,17/06/2019,18/06/2019,México,Yucatán,12180,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,,,
30,17/06/2019,18/06/2019,México,Yucatán,12180,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,,,
31,17/06/2019,18/06/2019,México,Yucatán,12180,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,,,
32,17/06/2019,18/06/2019,México,Yucatán,12180,East,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362000000000002,,,
33,17/06/2019,18/06/2019,México,Yucatán,12180,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,,,
34,30/04/2018,05/05/2018,México,Durango,60610,North,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,,,
35,05/12/2021,10/12/2021,México,Nuevo León,85234,North,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,,,
36,05/12/2021,10/12/2021,México,Nuevo León,85234,North,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,,,
37,04/06/2019,06/06/2019,México,Sinaloa,22153,North,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,,,
38,18/09/2019,23/09/2019,México,Yucatán,10009,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.6160000000000005,1,0.2,1.7309999999999999,,,
39,14/09/2020,17/09/2020,México,Verracruz,49201,,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,,,
40,26/04/2018,02/05/2018,México,Morelos,38109,Center,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,,,
41,26/04/2018,02/05/2018,México,Morelos,38109,Center,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,,,
42,26/04/2018,02/05/2018,México,Morelos,38109,Center,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78399999999999,1,0.2,-18.195999999999998,,,
43,09/12/2020,11/12/2020,México,Baja California Sur,77041,North,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,,,
44,09/12/2020,11/12/2020,México,Baja California Sur,77041,North,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,,,
45,09/12/2020,11/12/2020,México,Baja California Sur,77041,North,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.7239999999999998,,,
46,26/11/2021,01/12/2021,México,Baja California Sur,77070,North,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,,,
47,03/09/2018,08/09/2018,México,Nayarit,27707,West,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,,,
48,13/11/2020,16/11/2020,México,Durango,60623,North,Office Supplies,Storage,Safco Industrial Wire Shelving,230.37599999999998,3,0.2,-48.9549,,,
49,26/10/2020,02/11/2020,México,Baja California,55901,North,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,,,
50,26/10/2020,02/11/2020,México,Baja California,55901,North,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568,,,
51,05/04/2019,10/04/2019,México,Baja California Sur,77095,North,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,,,
52,31/01/2018,05/02/2018,México,Baja California,55407,North,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208,,,
53,31/01/2018,05/02/2018,México,Baja California,55407,North,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.5354,,,
54,31/01/2018,05/02/2018,México,Baja California,55407,North,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504,,,
55,06/11/2020,12/11/2020,México,Tlaxcala,97206,Center,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.7880000000000003,,,
56,09/11/2020,11/11/2020,México,Yucatán,10009,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,,,
57,06/09/2019,11/09/2019,México,Baja California,55106,North,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852,,,
58,29/08/2019,02/09/2019,México,Durango,60610,North,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,,,
59,29/08/2019,02/09/2019,México,Durango,60610,North,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973,,,
60,29/08/2019,02/09/2019,México,Durango,60610,North,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396,,,
61,01/12/2019,04/12/2019,México,Baja California,55901,North,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208,,,
